o'clock	 adv. ⋯⋯点钟
To	 prep. （距整点时间）差⋯⋯
art	 n. 美术；艺术
geography	 n. 地理
history	 n. 历史
IT	 n. 信息技术
maths (AmE math)	 n. 数学
PE (= physical education)	 n. 体育；体育课
lesson	 n. （一节）课
then	 adv. 接着，然后
Like	 v. 喜欢；喜爱
difficult	 adj. 困难的，难懂的
love	 v. 爱；热爱 n. 喜爱；关爱
subject	 n. 科目
because	 conj. 因为
interesting	 adj. 有趣的
talk	 v. 谈论，说话
begin	 v. 开始
when	 adv. 什么时候，何时
go to school	 上学
weekday	 n. 工作日
get up	 起床
have breakfast	 吃早餐
house	 n. 房子；住宅
start	 v. 开始
work	 n. 学习；工作 v. 学习；工作
break	 n. （课间）休息
have lunch	 吃午餐
go home	 回家
evening	 n. 晚上
watch	 v. 看，观看
have dinner	 吃饭；吃晚餐
Do	 v. 做；干
homework	 n. 家庭作业
bed	 n. 床
go to bed	 上床睡觉
sleep	 n. 睡觉 v. 睡觉
go to sleep	 开始睡觉；入睡
park	 n. 公园
busy	 adj. 忙的；繁忙的
wash	 v. 洗；洗涤
face	 n. 脸
minute	 n. 分钟
grandma	 n. （外）祖母
grandpa	 n. （外）祖父
him	 pron. （宾格）他
want	 v. 想要；需要
make	 v. 做，制作
kitchen	 n. 厨房
farmer	 n. 农民
week	 n. 星期
read	 v. 阅读；看懂
story	 n. 故事
live	 v. 生活；住
bear	 n. 熊
elephant	 n. 大象
giraffe	 n. 长颈鹿
lion	 n. 狮子
monkey	 n. 猴子
panda	 n. 熊猫
tiger	 n. 老虎
zebra	 n. 斑马
zoo	 n. 动物园
guide	 n. 导游
animal	 n. 动物
such	 adj. 这样的；如此的
as	 prep. 像⋯⋯一样
such as	 比如
come	 v. 来
come from	 来自
different	 adj. 不同的
country	 n. 国家
other	 adj. 其他的
dangerous	 adj. 危险的
ugh	 int. 啊，哎呀
also	 adv. 也；而且
plant	 n. 植物
look	 v. 看，瞧
look at	 看
tall	 adj. 高的
sure	 adv. 的确，当然
bamboo	 n. 竹子
cute	 adj. 可爱的
shall	 v aux. ⋯⋯好吗？要不要⋯⋯？
them	 pron. （宾格）他们，她们，它们
which	 pron. 哪一个
over	 prep. 在⋯⋯的上方
There	 adv. 在那里，往那里
over there	 在那边，在那里
funny	 adj. 有趣的
call	 v. 把⋯⋯叫做；称呼⋯⋯为
Africa	 非洲
Asia	 亚洲
Europe	 欧洲
little	 adj. 极少量的
a little	 少量
only	 adv. 仅仅；只
About	 adv. 大约，大致
kilo (= kilogram)	 n. 千克；公斤
as well as	 并且，还
people	 n. 人，人们
all over the world	 全世界
African	 adj. 非洲的 n. 非洲人
leaf	 n. 叶子 (pl. leaves)
grass	 n. 草
large	 adj. 大的，巨大的
usually	 adv. 通常
alone	 adv. 独自地
be good at	 擅长
strong	 adj. 强壮的；强大的；强烈的
catch	 v. 抓住；接住
many kinds of	 许多种类
even	 adv. 甚至
keyboard	 n. 键盘
mouse	 n. 鼠标；老鼠 (pl. mice)
screen	 n. 屏幕
connect	 v. 连接
turn	 v. 转动
turn on	 打开
learn	 v. 学；学习
document	 n. 文件
click	 v. 点击
use	 v. 使用
save	 v. 保存；储存
box	 n. （计算机屏幕上的）框；盒子
finally	 adv. 最后
print	 v. 打印
paper	 n. 纸
share	 v. 共用；分享
Australia	 澳大利亚
company	 n. 公司；剧团
often	 adv. 经常
customer	 n. 顾客
Internet	 n. 因特网
check	 v. 检查；查看
train	 n. 火车
travel	 n. 旅行
plan	 n. 计划 v. 计划；打算
ticket	 n. 票
music	 n. 音乐
movie	 n. 电影
night	 n. 夜晚
search	 v. 搜寻；搜索；查找
search for	 搜寻；查找
information	 n. 信息
email	 n. 电子邮件
send	 v. 发送
game	 n. 游戏
sometimes	 adv. 有时候；不时
cinema	 n. 电影院
clothes	 n. 衣服（总称）
visit	 v. 探望；参观
holiday	 n. 假日；节日
card	 n. 卡片
party	 n. 晚会；聚会
present	 n. 礼物
would	 v aux. 肯，会；愿意
always	 adv. 总是；一直
great	 adj. 太好了；巨大的；超乎寻常的
cake	 n. 蛋糕
never	 adv. 从不
special	 adj. 特别的，特殊的
cut	 v. 切；剪
give	 v. 给，送
sing	 v. 唱，唱歌
happy	 adj. 高兴的；幸福的
secret	 n. 秘密
ha ha	 哈哈（表笑声）
CD	 n. 激光唱片；光盘
concert	 n. 音乐会
magazine	 n. 杂志
scarf	 n. 围巾
silk	 n. 丝绸
dress	 n. 连衣裙；礼服
T-shirt	 n. T恤衫
choose	 v. 选择；挑选
exercise	 n. 锻炼；练习
wear	 v. 穿；戴
expensive	 adj. 昂贵的
shoe	 n. 鞋，鞋子
spend	 v. 花（钱）；花费
money	 n. 钱，金钱
film	 n. 电影
song	 n. 歌曲
match	 n. （尤指体育方面的）比赛，竞赛
weekend	 n. 周末
at weekends	 在周末
dear	 adj. （用于信开头某人的名字前）亲爱的
hear	 v. 听见
hear from	 收到⋯⋯的来信
afraid	 adj. 担心的；害怕的
I'm afraid	 [口] 恐怕（用于礼貌地拒绝）
can't = cannot	 不能
postcard	 n. 明信片
Call	 v. （给⋯⋯）打电话
lie	 v. 躺；平躺
sun	 n. 太阳
line	 n. 行，排，列
take	 v. 拿，取；花费（时间）
take photos	 拍照
wait	 v. 等待，等候
wait for	 等待，等候
walk	 v. 行走；步行
trip	 n. 旅行
few	 adj. 一些；几个；很少（的）
a few	 一些；几个
sale	 n. 卖；出售
on sale	 正在出售
enjoy	 v. 享受⋯⋯的乐趣；喜爱
anyway	 adv. 尽管如此；无论如何
back	 adv. 向后；回到；返回
go back	 回去
drive	 v. 驾驶；驾车
off	 prep. 下（飞机、火车、公共汽车等）
get off	 下（飞机、火车、公共汽车等）
hot dog	 热狗（一种中间夹香肠的三明治）
leave	 v. 离开
restaurant	 n. 饭店；餐馆
moment	 n. （某事发生的）时刻，时候
place	 n. 地点
thing	 n. 事情；东西
most	 adj. 大部分（的）；大多数（的）
still	 adv. 仍然，依旧
star	 n. 明星；星；星状物
run	 v. 跑，奔跑
study	 v. 学习；研究
lantern	 n. 灯笼
dragon	 n. 龙
dance	 n. 舞蹈 v. 跳舞
clean	 v. 打扫 adj. 清洁的；干净的
sweep	 v. 打扫；清扫
floor	 n. 地板
cook	 v. 烹调；煮；烧
meal	 n. 一餐；一顿饭
speak	 v. 说话，讲话
happen	 v. 发生
ready	 adj. 有准备的；准备好的
get ready for	 为⋯⋯做好准备
festival	 n. 节日
quite	 adv. 十分；相当
at the moment	 此刻，目前
beautiful	 adj. 漂亮的，美丽的
at work	 在工作
away	 adv. 在安全的地方；在通常存放的地方
put away	 收起；收拾好
hard	 adv. 努力地 adj. 艰难的；困难的
join	 v. 参加；加入
hurry	 v. 赶快；匆忙
hurry up	 赶快
Christmas	 n. 圣诞节
February	 n. 二月
January	 n. 一月
before	 prep. 在⋯⋯之前
sweep away	 扫去
luck	 n. 运气
table	 n. 桌子
celebrate	 v. 庆祝
traditional	 adj. 传统的
dumpling	 n. 饺子；团子
programme (AmE program)	 n. （电视）节目
sweater	 n. 厚运动衫；毛线衣
coat	 n. 外套
mean	 v. 意思是；意味着
lucky	 adj. 幸运的
merry	 adj. 愉快的，高兴的
Merry Christmas	 圣诞快乐
tell	 v. 讲；告诉
think	 v. 想，认为
