noncommittal	 adj. 不明朗的, 不承担义务的
ineffaceable	 adj. 不能除去的, 不能取消的
inexpiable	 adj. 不能抵偿的, 不能平息的
indivisible	 adj. 不能分割的, 除不尽的
irrevocable	 adj. 不能取消的
impermeable	 adj. 不能渗透的, 不渗透性的
ineffable	 adj. 不能说的, 不应说出的, 避讳的
irreparable	 adj. 不能挽回的
inconceivable	 adj. 不能想像的, 难以相信的
irreconcilable	 adj. 不能协调的, 矛盾的
invincible	 adj. 不能征服的, 无敌的
insuperable	 adj. 不能制胜的, 不能克服的
incurable	 adj. 不能治愈的
incontinent	 adj. 不能自制的, 无节制的, 荒淫的, [医]失禁的
dauntless	 adj. 不屈不挠的, 大胆的
indomitable	 adj. 不屈服的, 不屈不挠的
nonflammable	 adj. 不燃烧的
impervious	 adj. 不让进入, 不会受到损伤的, 密封的, 不受影响的
indubitable	 adj. 不容置疑的, 确实的, 明白的
indiscreet	 adj. 不慎重的, 轻率的
barren	 adj. 不生育的, 不孕的, 贫瘠的, 没有结果的, 无益的, 单调的, 无聊的, 空洞的
dispensable	 adj. 不是必要的, 可有可无的
inept	 adj. 不适当的, 无能的, 不称职的
inexpedient	 adj. 不适宜的
immoderate	 adj. 不适中的
unruly	 adj. 不受拘束的, 不守规矩的, 蛮横的, 难驾驭的
indisposed	 adj. 不舒服的, 不合适的
insubordinate	 adj. 不顺从的, 不听话的
unseemly	 adj. 不体面的, 不适宜的, 不恰当的
discordant	 adj. 不调和的, 不和的, [乐]不悦耳的, 不和谐的
incongruous	 adj. 不调和的, 不适宜的
contumacious	 adj. 不听令的, 顽固的, 反抗法院命令的
diverse	 adj. 不同的, 变化多的
heterogeneous	 adj. 不同种类的异类的
queasy	 adj. 不稳定的
precarious	 adj. 不稳定的
incommensurate	 adj. 不相称的, 不适应的
dissonant	 adj. 不谐和的, 不调和的, 刺耳的
unremitting	 adj. 不懈的
hackneyed	 adj. 不新奇的, 陈腐的, 常见的
infidel	 adj. 不信宗教的, 异端的
immortal	 adj. 不朽的
repugnant	 adj. 不一致的
stolid	 adj. 不易激动的, 感觉迟钝的, 神经麻木的
unflappable	 adj. 不易惊慌的, 镇定的
disagreeable	 adj. 不愉快的, 不为人喜的, 厌恶的
obnoxious	 adj. 不愉快的, 讨厌的
disinclined	 adj. 不愿的, 不想的
grudging	 adj. 不愿的, 勉强的, 吝啬的
averse	 adj. 不愿意的, 反对的
frowzy	 adj. 不整洁的, 憋闷的, 有臭味的
deviant	 adj. 不正常的
perverse	 adj. 不正当的
indefatigable	 adj. 不知疲倦的
unwitting	 adj. 不知情的
inadvertent	 adj. 不注意的, 疏忽的, 无意中做的
insufficient	 adj. 不足的, 不够的
skimpy	 adj. 不足的, 吝啬的
paltry	 adj. 不足取的, 无价值的, 琐碎的, 下贱的
irreverent	 adj. 不尊敬的
fractional	 adj. 部分的, 碎片的, 分数的, 小数的, 分馏的
fiscal	 adj. 财政的, 国库的, 会计的, 国库岁入的
sartorial	 adj. 裁缝的, 缝纫的, [解]缝匠肌的
iridescent	 adj. 彩虹色的, 闪光的
chromatic	 adj. 彩色的
stilted	 adj. 踩高跷的, 虚饰的
