bite	 v. (过去式 bit, 过去分词 bitten)咬；叮；刺痛
extinction	 n. 灭绝；消亡
dinosaur	 n. 恐龙
come into being	 形成；产生
county	 n. 县；郡
inspect	 v. 检查；视察
unexpected	 adj. 没料到的；意外的
incident	 n. 事件；事变
dust	 n. 灰尘；尘埃；尘土
according to	 按照；根据……所说
Mauritius	 n. 毛里求斯（非洲东部岛国）
disappearance	 n. 消失
fierce	 adj. 凶猛的；猛烈的
so that	 以致于；结果
ending	 n. 结局；结尾
faithfully	 adv. 忠诚地；忠实地
Colobus monkey	 （非洲产）疣猴，髯猴
classical	 adj. 古典的；古典文艺的
roll	 v. 滚动；（使）摇摆 n. 摇晃；卷；卷形物；面包圈
rock’n’roll	 (rock-and-roll) 摇滚乐
orchestra	 n. 管弦乐队
rap	 n. 说唱乐
folk	 adj. 民间的
jazz	 n. 爵士音乐
choral	 adj. 唱诗班的；合唱队的
the Monkees	 门基乐队
musician	 n. 音乐家
dream of	 梦见；梦想；设想
karaoke	 n. 卡拉OK录音；自动伴奏录音
pretend	 v. 假装；假扮
to be honest	 说实在地；实话说
attach	 v. 系上；缚上；附加；连接
attach…to	 认为有（重要性、意义）；附上；连接
form	 v. （使）组成；形成；构成
fame	 n. 名声；名望
passer-by	 n. 过路人；行人
earn	 v. 赚；挣得；获得
extra	 adj. 额外的；外加的
instrument	 n. 工具；器械；乐器
perform	 v. 表演；履行；执行
performance	 n. 表演；演奏
pub	 n. 酒馆；酒吧
cash	 n. 现金
in cash	 用现金；有现钱
studio	 n. 演播室；工作室
millionaire	 n. 百万富翁；富豪
play jokes on	 戏弄
actor	 n. 男演员；行动者
rely	 v. 依赖；依靠
rely on	 依赖；依靠
broadcast	 n. 广播；播放 v. 广播；播放
humorous	 adj. 幽默的；诙谐的
familiar	 adj. 熟悉的；常见的；亲近的
be familiar with	 熟悉；与……熟悉起来
get familiar with	 熟悉；与……熟悉起来
or so	 大约
break up	 打碎；分裂；解体
reunite	 v. 再统一；再联合；重聚
attractive	 adj. 吸引人的；有吸引力的
addition	 n. 加；增加；加法
in addition	 另外；也
sort out	 分类
excitement	 n. 兴奋；刺激
ballad	 n. 情歌；歌谣；民谣
