towards	 prep. 往；向；朝⋯⋯方向
knock	 v. 敲
door	 n. 门
answer	 v. 应门；回答
push	 v. 推
enter	 v. 进入
bowl	 n. 碗
hungry	 adj. 感到饿的；饥饿的
Right	 adj. 合适的；恰当的
Finish	 v. 吃完；喝完；用尽
either	 adv. 也（不）
piece	 n. 部分；碎片；一件/个/张
in pieces	 破碎
asleep	 adj. 睡着的
return	 v. 返回；归还
cry	 v. 哭；喊叫
at first	 起初；首先
point	 v. 指向；指
point at	 指着⋯⋯
shout	 v. 高声说；大声喊
jump	 v. 跳
without	 prep. 无；没有
part	 n. 部分；地区；地方
March	 n. 3月
April	 n. 4月
June	 n. 6月
Women's Day	 妇女节
National Day	 国庆节
Children's Day	 儿童节
July	 n. 7月
August	 n. 8月
September	 n. 9月
October	 n. 10月
November	 n. 11月
December	 n. 12月
writer	 n. 作家
find out	 发现；查明；弄清
real	 adj. 真实的；真正的
at the age of	 在⋯⋯岁时
newspaper	 n. 报纸
exact	 adj. 准确的；确切的
date	 n. 日期
become	 v. (became) 成为
in the 1860s	 在19世纪60年代
Play	 n. 剧本；戏剧
poem	 n. 诗歌
marry	 v. 结婚
successful	 adj. 成功的
work	 n. 作品；著作
build	 v. (built) 建造
fire	 n. 火；火灾
die	 v. 死；去世
rich	 adj. 富有的
language	 n. 语言
around the world	 世界各地
young	 adj. 年轻的
Pacific	 adj. 太平洋的
so	 adv. 那么（尤指用于引出新话题）；这么；那么（用于强调质量、感觉或数量）
guess	 v. 猜；猜测
excited	 adj. 激动的；兴奋的
wow	 int. 哇；噢
arrive	 v. 到达
relax	 v. 放松
world-famous	 adj. 举世闻名的
French	 adj. 法国的；法语的 n. 法国人；法语
sell	 v. (sold) 卖；出售
top	 n. 顶端
till	 conj. 直到⋯⋯为止
Light	 n. 电灯
wonderful	 adj. 绝妙的；了不起的
palace	 n. 宫殿
bow	 v. 鞠躬；弯腰
kiss	 v & n. 吻；亲吻
shake	 v. (shook) 摇晃
shake hands	 握手
smile	 v & n. 微笑
British	 adj. 英国的；英国人的
German	 n. 德国人；德语 adj. 德国的；德国人的；德语的
Japanese	 n. 日本人；日语 adj. 日本的；日语的；日本人的
Russian	 n. 俄罗斯人；俄语 adj. 俄罗斯的；俄罗斯人的；俄语的
visitor	 n. 游客；观光者
2ussian	 俄罗斯
what	 int. 什么（表示惊奇）
nod	 v. 点（头）
head	 n. 头；头部
hug	 v. 拥抱；紧抱
each	 pron. 各个；每个
each other	 互相；彼此
India	 印度
together	 adv. 一起；共同
Maori	 adj. 毛利人的
touch	 v. 触摸；接触
nose	 n. 鼻子
finger	 n. 手指
foot	 n. 脚；足 (pl. feet)
knee	 n. 膝盖
leg	 n. 腿
mouth	 n. 嘴；口
body	 n. 身体；躯干
foreign	 adj. 外国的
North American	 北美人
personal	 adj. 个人的
arm	 n. 臂；手臂
arm in arm	 臂挽臂地
South American	 南美人
hold	 v. (held) 握着；使不动
move	 v. 移动
Britain	 不列颠；英国
not at all	 一点也不
polite	 adj. 礼貌的
somewhere	 adv. 某处；某个地方
wave	 v. 挥（手）；招（手）；摆（手）
fact	 n. 事实；细节
in fact	 事实上
rude	 adj. 粗鲁的；无礼的
bring	 v. (brought) 带来
lively	 adj. 活泼的；轻快的
modern	 adj. 现代的
noisy	 adj. 吵闹的
pop (=popular)	 adj. 流行的；受欢迎的
rock	 n. 摇滚乐
sound	 n. 声音
violin	 n. 小提琴
Western	 adj. 西方的
hmm	 int. 嗯
By	 prep. 由⋯⋯创作；被；由
through	 prep. 穿过
both	 pron. 两个；两者
opera	 n. 歌剧
voice	 n. 声音
drum	 n. 鼓
believe	 v. 相信
musician	 n. 乐手；音乐家
centre (AmE center)	 n. 中心
European	 adj. 欧洲的
classical	 adj. 经典的；古典的
century	 n. 世纪
composer	 n. 作曲家
elder	 adj. 年长的
waltz	 n. 华尔兹舞（曲）
dance music	 舞曲
another	 pron. 又一个；再一个
Piece	 n. （写作，音乐或艺术的）作品
poor	 adj. 贫穷的
perfect	 adj. 完美的
sad	 adj. 令人悲伤的；令人难过的
slow	 adj. 慢的
feel	 v. (felt) 感觉；觉得
ship	 n. 船
